Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4188,Miguel Pinedo,6,73,199,144,29,36,4,9,20,53,52,65,26,11,26
4241,Miguel Jesus Arenas,4,6,2,12,2,5,4,3,3,8,0,0,4,4,4
4291,Nancy Denise Castillo,0,0,2,1,0,0,0,0,1,4,3,3,2,4,0
4358,Nestor Jaime Cardenas,1,1,2,2,2,0,0,0,0,1,3,1,1,0,0
4400,Octavio Benjumea,0,0,2,0,0,2,1,1,1,0,2,2,0,0,0
4441,Omar Armando Baquero,3,11,8,10,5,6,1,8,4,2,8,5,2,0,0
4486,Orlando Anibal Guerra,35,38,16,7,5,3,4,3,2,2,11,29,26,6,1
4518,Oscar Alberto Arboleda,17,8,11,8,9,10,15,24,2,12,49,75,62,43,17
4526,Oscar De Jesus Sanchez,23,16,16,16,16,4,10,10,6,3,23,13,29,10,1
4546,Oscar Luis Fernandez,19,12,7,3,0,7,5,1,2,2,5,4,0,2,3
4595,Parmenio Cuellar,52,134,103,28,62,28,34,9,13,32,36,120,50,20,8
4661,Pedro Maria Ramirez,6,9,18,7,6,5,4,6,4,1,7,10,4,6,2
4685,Piedad Del Socorro Zuccardi,0,26,15,23,6,11,5,16,5,10,12,20,22,17,10
4704,Rafael Francisco Amador,23,59,66,72,38,43,65,82,28,13,4,0,0,4,0
4729,Rafael Antonio Flechas,11,49,20,15,14,13,7,3,2,2,3,0,0,3,0
4814,Rene Rodrigo Garzon,0,0,0,0,0,0,0,0,2,1,3,4,4,0,1
4856,Ricardo Ariel Elcure,0,0,0,2,0,0,7,0,0,0,4,14,12,0,1
4891,Roberto Moya,10,39,8,23,9,9,33,0,0,0,0,14,2,4,0
4948,Rodrigo Rivera,50,94,75,70,54,113,174,124,146,129,40,43,242,456,444
4991,Rosmery Martinez,0,0,0,0,1,4,2,16,2,3,5,13,18,33,2
5039,Samuel Moreno,57,123,44,27,73,64,69,59,91,73,826,1798,1538,1429,875
5048,Sandra Arabella Velasquez,1,0,2,0,0,1,2,1,10,0,4,12,2,0,0
5109,Simon Gaviria,0,1,1,0,0,0,0,0,17,59,76,222,165,174,105
5157,Tito Edmundo Rueda,26,37,17,17,25,17,6,2,7,4,6,9,10,9,1
5187,Venus Albeiro Silva,47,44,55,47,44,44,58,45,17,36,65,34,46,25,14
5227,Victor Manuel Buitrago,1,3,0,2,0,1,0,0,0,0,2,2,5,0,0
5280,William Alfonso Montes,7,27,26,38,8,6,7,12,5,16,103,75,60,67,50
5307,Wilmer David Gonzalez,9,3,2,0,1,0,0,0,0,4,3,7,5,10,0
5358,Yolanda Pinto,1,3,0,2,6,21,40,4,3,9,30,23,16,6,1
5423,Parmenides Alexander Salazar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5468,Ricardo Chajin,2,1,5,0,0,0,0,2,1,0,6,0,0,0,0
5578,Teofila Roa,0,1,0,1,1,0,13,2,0,0,0,0,0,1,0
5676,Cesar Humberto Londono,14,1,16,5,5,3,6,5,2,1,14,19,25,12,8
5738,Jesus Reyes,86,77,71,73,51,37,53,58,34,31,63,121,88,91,13
5878,Antonio Floriberto Dorado,158,108,45,58,41,23,37,65,25,35,44,219,87,69,35
5909,Roberto Quintero,3,4,1,0,0,1,1,0,6,0,0,7,1,1,0
6071,Lucio Munoz,0,0,0,0,4,0,1,4,1,0,6,0,0,0,2
6157,Gloria Stella Diaz,69,52,55,80,150,55,60,41,51,42,67,83,56,45,21
6363,Jose Dolores Aristizabal,12,2,1,1,1,1,6,1,2,2,0,1,0,8,2
6402,Mario Suarez,73,21,22,28,9,6,20,45,22,5,8,6,102,126,90
6477,Bladimiro Nicolas Cuello,1,3,0,11,1,1,3,0,0,3,3,7,4,4,5
6540,Carlos Eduardo Acosta,15,10,12,13,2,4,12,1,4,5,8,16,11,2,11
6567,Anibal Antonio Ortiz,8,1,0,0,0,0,0,0,1,2,6,31,6,6,4
9003,Luis Jose Alvarez,14,10,10,5,4,4,5,8,9,6,15,22,21,13,2
9007,Carlos Uribe Angel,8,5,13,2,2,3,2,6,1,2,16,13,9,13,7
9011,Alexander Ariza,0,2,0,2,0,0,0,0,0,0,4,2,3,3,0
9015,Nicolas Badran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9019,Antonio Jose Bello,1,1,2,1,1,0,1,1,0,4,0,1,0,1,2
9023,Adriano Bohorquez,0,0,0,3,0,0,0,1,0,0,0,0,1,4,0
9027,Alba Stella Buitrago,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
9031,Eciebel Antonio Cano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9035,Efren Cardona,1,0,0,3,0,0,2,1,1,0,0,6,0,1,0
9039,Idayris Yolima Carrillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9043,Hernando Castillo,2,6,6,3,6,4,3,3,4,4,2,5,6,0,0
9047,Jairo Coral,0,2,1,1,1,3,1,0,0,0,0,1,0,0,11
9051,Jaime Corzo,1,0,0,1,0,1,0,0,0,0,1,0,3,0,0
9055,William David Cubides,0,0,1,6,27,50,51,5,4,0,0,0,2,0,0
9059,Jhonny Eduardo De La Ossa,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9063,Jesus Enrique Doval,2,0,0,0,1,0,0,2,0,0,6,4,0,3,0
9067,Betty Del Socorro Echeverria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9071,William Escaf,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
9075,Luis Alfonso Espana,1,1,0,2,0,0,0,0,0,1,2,2,0,0,0
9079,Antonio Fernandez,15,18,17,10,4,3,4,26,13,16,12,21,35,24,5
9083,Joaquin Garces,0,5,8,2,1,3,1,2,13,18,30,17,12,12,8
9087,Lucy Stella Gomez,0,1,0,2,1,0,0,1,0,3,0,3,2,1,2
9091,Luis Irene Gonzalez,52,37,58,34,38,39,38,64,38,27,86,87,118,99,25
