Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4814,Rene Rodrigo Garzon,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
4856,Ricardo Ariel Elcure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4891,Roberto Moya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4948,Rodrigo Rivera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4991,Rosmery Martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5039,Samuel Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5048,Sandra Arabella Velasquez,0,0,0,0,0,0,0,0,0,0,0,7,13,3,0
5109,Simon Gaviria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5157,Tito Edmundo Rueda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5187,Venus Albeiro Silva,0,0,0,0,0,0,0,0,0,0,2,13,22,8,8
5227,Victor Manuel Buitrago,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5280,William Alfonso Montes,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
5307,Wilmer David Gonzalez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5358,Yolanda Pinto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5423,Parmenides Alexander Salazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5468,Ricardo Chajin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5578,Teofila Roa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5676,Cesar Humberto Londono,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5738,Jesus Reyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5878,Antonio Floriberto Dorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5909,Roberto Quintero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6071,Lucio Munoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6157,Gloria Stella Diaz,0,0,0,0,0,0,0,0,0,0,0,4,4,7,4
6363,Jose Dolores Aristizabal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6402,Mario Suarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6477,Bladimiro Nicolas Cuello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6540,Carlos Eduardo Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6567,Anibal Antonio Ortiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9003,Luis Jose Alvarez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9007,Carlos Uribe Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9011,Alexander Ariza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9015,Nicolas Badran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9019,Antonio Jose Bello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9023,Adriano Bohorquez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9027,Alba Stella Buitrago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9031,Eciebel Antonio Cano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9035,Efren Cardona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9039,Idayris Yolima Carrillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9043,Hernando Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9047,Jairo Coral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9051,Jaime Corzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
